ID Produit Cave,Nom Produit (la-cave-privee),URL Produit Cave,Statut,Score Matching (%),Nom Produit Corniche,Fichier Image Local,URL Image Corniche (originale)
76,LA PERLE DE MORNAG ROSE-75cl,https://www.la-cave-privee.com/fr/products/la-perle-de-mornag-rose-75cl/details?sm=vins-locaux,✅ Matché,73.1,CHATEAU MORNAG ROSE 75CL,chateau_mornag_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/CHATEAU-MORNAG-ROSE-75CL-1-410x540.png
77,LA VAGUE - BLANC - 75CL,https://www.la-cave-privee.com/fr/products/la-vague-blanc-75cl/details?sm=vins-locaux,✅ Matché,73.2,MAGNIFIQUE BLANC 75 CL,magnifique_blanc_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MAGNIFIQUE-BLANC-75-CL-410x540.png
78,LA VAGUE - ROSE - 75CL,https://www.la-cave-privee.com/fr/products/la-vague-rose-75cl/details?sm=vins-locaux,✅ Matché,72.7,DALIA ROSE 75CL,dalia_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/DALIA-ROSE-75CL-1-410x540.png
79,LE SOLEIL DE MINUIT 75cl - ROSE,https://www.la-cave-privee.com/fr/products/le-soleil-de-minuit-75cl-rose/details?sm=vins-locaux,✅ Matché,66.7,PETALE DE ROSE ROSE 75 CL,petale_de_rose_rose_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/PETALE-DE-ROSE-ROSE-75-CL-1-410x540.png
80,"MAGON 37,5cl - ROUGE",https://www.la-cave-privee.com/fr/products/magon-375cl-rouge/details?sm=vins-locaux,✅ Matché,100.0,MAGON ROUGE 37.5CL,magon_rouge_37_5cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MAGON-ROUGE-37.5CL-1-410x540.png
81,"Magon Blanc 37,5cl",https://www.la-cave-privee.com/fr/products/magon-blanc-375cl/details?sm=vins-locaux,✅ Matché,86.5,MAGON BLANC 37.5 CL,magon_blanc_37_5_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MAGON-BLANC-37.5-CL-1-410x540.png
82,"Magon Rosé 37,5cl",https://www.la-cave-privee.com/fr/products/magon-rose-375cl/details?sm=vins-locaux,✅ Matché,97.1,MAGON ROSE 37.5 CL,magon_rose_37_5_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MAGON-ROSE-37.5-CL-1-1-410x540.png
83,MAGON ROYAL Rouge  - 75CL,https://www.la-cave-privee.com/fr/products/magon-royal-rouge-7-5cl-/details?sm=vins-locaux,✅ Matché,82.1,MAGON ROUGE 75 CL,magon_rouge_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MAGON-ROUGE-75-CL-1-410x540.png
84,MUSCAT DU CAP BON-BLANC-75cl,https://www.la-cave-privee.com/fr/products/muscat-du-cap-bon-blanc-75cl/details?sm=vins-locaux,✅ Matché,74.5,MUSCAT D’OR BLANC 75 CL,muscat_d_or_blanc_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MUSCAT-DOR-BLANC-75-CL-1-410x540.png
85,"Muscat Sec De Kelibia Blanc 37,5cl",https://www.la-cave-privee.com/fr/products/muscat-sec-de-kelibia-blanc-375cl/details?sm=vins-locaux,✅ Matché,86.7,MUSCAT SEC DE KELIBIA 75CL,muscat_sec_de_kelibia_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/MUSCAT-SEC-DE-KELIBIA-75CL-1-410x540.png
